id;ime;priimek;spol;delovno_mesto;id_poslovalnice;id_zaposlenega;geslo
167;Nina;Rozman;Ženski;Prodajalka;1003;8287;9674
168;Luka;Rolih;Moški;Prodajalec;1004;5043;5953
169;Mia;Knez;Ženski;Prodajalka;1002;1704;1918
170;Jure;Bizjak;Moški;Prodajalec;1005;9701;4094
171;Kaja;Petek;Ženski;Prodajalka;1010;4118;3422
172;Maša;Turk;Ženski;Izmenovodja;1008;1105;1565
173;Tilen;Vidmar;Moški;Prodajalec;1010;3777;6873
174;Gašper;Rolih;Moški;Prodajalec;1007;2027;2788
175;Sara;Kotnik;Ženski;Prodajalka;1004;1956;9695
176;Lea;Bregar;Ženski;Prodajalka;1005;3464;6837
177;Jure;Kos;Moški;Izmenovodja;1002;5073;9491
178;Luka;Kastelic;Moški;Prodajalec;1007;2507;7350
179;Luka;Korošec;Moški;Izmenovodja;1005;5775;7123
180;Gašper;Kotnik;Moški;Prodajalec;1009;8112;6899
